GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
386.0	|	400.0	|	0.725471923	|	2.107099645	|	-15.92639496	|	-0.687	|	0.224	|	0.664	|	34.431	|	24.535	|	24.535	|	0.896	|	0.094	|	0.292	|	0.0
385.0	|	400.0	|	0.882584933	|	2.231809201	|	-15.83025531	|	-0.685	|	0.262	|	0.643	|	36.025	|	21.588	|	21.588	|	0.884	|	0.094	|	0.311	|	0.0
391.0	|	401.0	|	1.043284751	|	2.3527736	|	-15.73695542	|	-0.682	|	0.304	|	0.648	|	36.209	|	20.899	|	20.899	|	0.89	|	0.104	|	0.28	|	0.0
400.0	|	402.0	|	1.19233216	|	2.473910266	|	-15.64236787	|	-0.684	|	0.313	|	0.665	|	33.205	|	21.024	|	21.024	|	0.885	|	0.094	|	0.318	|	0.0
411.0	|	404.0	|	1.327695171	|	2.602257625	|	-15.54048637	|	-0.686	|	0.302	|	0.688	|	29.648	|	22.905	|	22.905	|	0.884	|	0.105	|	0.292	|	0.0
417.0	|	412.0	|	1.448788126	|	2.736355244	|	-15.4329274	|	-0.698	|	0.261	|	0.682	|	26.643	|	24.221	|	24.221	|	0.871	|	0.096	|	0.321	|	0.0
405.0	|	421.0	|	1.56327049	|	2.869082238	|	-15.32738188	|	-0.751	|	0.269	|	0.639	|	24.988	|	23.845	|	23.845	|	0.88	|	0.099	|	0.316	|	0.0
387.0	|	428.0	|	1.681085644	|	2.98802451	|	-15.23603987	|	-0.775	|	0.267	|	0.606	|	26.214	|	20.209	|	20.209	|	0.868	|	0.086	|	0.344	|	0.0
370.0	|	433.0	|	1.804825849	|	3.109802468	|	-15.14244644	|	-0.772	|	0.294	|	0.563	|	27.073	|	21.087	|	21.087	|	0.879	|	0.112	|	0.326	|	0.0
353.0	|	432.0	|	1.934994494	|	3.234264409	|	-15.04493389	|	-0.766	|	0.318	|	0.546	|	28.299	|	21.964	|	21.964	|	0.884	|	0.109	|	0.333	|	0.0
